timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-07-29T00:00:00.000Z";"2025-07-29T23:59:59.999Z";"2025-07-29T08:49:00.000Z";"2025-07-29T16:40:00.000Z";"2781";3.1159016365;3.1827985178;3.0611134698;3.1284312732;6224568344.94;185327163122.46;"2025-07-29T23:59:59.999Z"
"2025-07-28T00:00:00.000Z";"2025-07-28T23:59:59.999Z";"2025-07-28T05:58:00.000Z";"2025-07-28T23:58:00.000Z";"2781";3.2412493443;3.3243569219;3.1140567219;3.1158418045;8060553540.17;184584911869.44;"2025-07-28T23:59:59.999Z"
"2025-07-27T00:00:00.000Z";"2025-07-27T23:59:59.999Z";"2025-07-27T22:52:00.000Z";"2025-07-27T00:07:00.000Z";"2781";3.1674193146;3.248465962;3.1626961341;3.2412820376;5026533834.99;192010465786.34;"2025-07-27T23:59:59.999Z"
"2025-07-26T00:00:00.000Z";"2025-07-26T23:59:59.999Z";"2025-07-26T16:26:00.000Z";"2025-07-26T02:01:00.000Z";"2781";3.141684373;3.2137734581;3.1130233925;3.1675342321;4116974189.82;187636800914.74;"2025-07-26T23:59:59.999Z"
"2025-07-25T00:00:00.000Z";"2025-07-25T23:59:59.999Z";"2025-07-25T02:01:00.000Z";"2025-07-25T15:01:00.000Z";"2781";3.1438914171;3.1508634788;3.0091060805;3.1417201452;8709196636.23;186112272069.97;"2025-07-25T23:59:59.999Z"
"2025-07-24T00:00:00.000Z";"2025-07-24T23:59:59.999Z";"2025-07-24T15:17:00.000Z";"2025-07-24T07:08:00.000Z";"2781";3.1849401744;3.260030039;2.9854785114;3.1438945492;12401558966.43;186243016582.2;"2025-07-24T23:59:59.999Z"
"2025-07-23T00:00:00.000Z";"2025-07-23T23:59:59.999Z";"2025-07-23T00:01:00.000Z";"2025-07-23T21:28:00.000Z";"2781";3.5516723432;3.5521456275;3.0699465341;3.1849296168;13463451823.48;188491734273.25;"2025-07-23T23:59:59.999Z"
"2025-07-22T00:00:00.000Z";"2025-07-22T23:59:59.999Z";"2025-07-22T18:40:00.000Z";"2025-07-22T05:01:00.000Z";"2781";3.5556373992;3.5769379379;3.4308362426;3.5516756327;8927291367.93;210195747137.92;"2025-07-22T23:59:59.999Z"
"2025-07-21T00:00:00.000Z";"2025-07-21T23:59:59.999Z";"2025-07-21T15:01:00.000Z";"2025-07-21T00:25:00.000Z";"2781";3.4595380437;3.6424108858;3.4161550059;3.5557647418;9514968528.17;210430407837.45;"2025-07-21T23:59:59.999Z"
"2025-07-20T00:00:00.000Z";"2025-07-20T23:59:59.999Z";"2025-07-20T19:37:00.000Z";"2025-07-20T02:46:00.000Z";"2781";3.4293850081;3.5544296478;3.390992837;3.4595292201;8763366577.55;204743037528.34;"2025-07-20T23:59:59.999Z"
"2025-07-19T00:00:00.000Z";"2025-07-19T23:59:59.999Z";"2025-07-19T04:46:00.000Z";"2025-07-19T15:01:00.000Z";"2781";3.4181601067;3.4801113915;3.3617595705;3.4294055996;6728548740.51;202958514845.47;"2025-07-19T23:59:59.999Z"
"2025-07-18T00:00:00.000Z";"2025-07-18T23:59:59.999Z";"2025-07-18T03:40:00.000Z";"2025-07-18T15:26:00.000Z";"2781";3.494916971;3.650210028;3.3606162643;3.4182118503;18226483531;202294200600.5;"2025-07-18T23:59:59.999Z"
"2025-07-17T00:00:00.000Z";"2025-07-17T23:59:59.999Z";"2025-07-17T22:00:00.000Z";"2025-07-17T03:42:00.000Z";"2781";3.0413778113;3.5405988232;3.0058358684;3.495128555;19109831395.5;206836839921.96;"2025-07-17T23:59:59.999Z"
"2025-07-16T00:00:00.000Z";"2025-07-16T23:59:59.999Z";"2025-07-16T20:41:00.000Z";"2025-07-16T02:43:00.000Z";"2781";2.9189477691;3.0970682249;2.8827064269;3.0414047377;8884765457.95;179841613324.88;"2025-07-16T23:59:59.999Z"
"2025-07-15T00:00:00.000Z";"2025-07-15T23:59:59.999Z";"2025-07-15T00:01:00.000Z";"2025-07-15T03:19:00.000Z";"2781";2.9548838266;2.9574734877;2.8085020669;2.9189517238;8879749638.27;172602125935.74;"2025-07-15T23:59:59.999Z"
"2025-07-14T00:00:00.000Z";"2025-07-14T23:59:59.999Z";"2025-07-14T13:53:00.000Z";"2025-07-14T00:10:00.000Z";"2781";2.8359232948;3.02179172;2.8271822527;2.9549770079;12393161327.29;174727083425.54;"2025-07-14T23:59:59.999Z"
"2025-07-13T00:00:00.000Z";"2025-07-13T23:59:59.999Z";"2025-07-13T14:26:00.000Z";"2025-07-13T00:10:00.000Z";"2781";2.737635692;2.8785003391;2.7268965062;2.8359410298;7159804375.13;167692753827.96;"2025-07-13T23:59:59.999Z"
